,Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,
,slc.263.5432.06,26_3,5432,06,Adjustment to PILS Levied,Railway Rights-of-way,
,slc.263.5432.07,26_3,5432,07,TOTAL PIL Entitilement,Railway Rights-of-way,
,slc.263.5432.08,26_3,5432,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Railway Rights-of-way,
,slc.263.5432.09,26_3,5432,09,Distribution of PIL Entitlements in Column 7 - UT,Railway Rights-of-way,
,slc.263.5432.10,26_3,5432,10,Distribution of PIL Entitlements in Column 7 - Education,Railway Rights-of-way,
,slc.263.5432.11,26_3,5432,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Railway Rights-of-way,
,slc.263.5432.12,26_3,5432,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Railway Rights-of-way,
,slc.263.5432.13,26_3,5432,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Railway Rights-of-way,
,slc.263.5432.14,26_3,5432,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Railway Rights-of-way,
,slc.263.5432.15,26_3,5432,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Railway Rights-of-way,
,slc.263.5434.02,26_3,5434,02,Total PILS Levied,Utility Corridors/Transmission,
,slc.263.5434.03,26_3,5434,03,PILS Levied - LT / ST,Utility Corridors/Transmission,
,slc.263.5434.04,26_3,5434,04,PILS Levied - UT,Utility Corridors/Transmission,
,slc.263.5434.05,26_3,5434,05,PILS Levied - Education,Utility Corridors/Transmission,
,slc.263.5434.06,26_3,5434,06,Adjustment to PILS Levied,Utility Corridors/Transmission,
,slc.263.5434.07,26_3,5434,07,TOTAL PIL Entitilement,Utility Corridors/Transmission,
,slc.263.5434.08,26_3,5434,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Utility Corridors/Transmission,
,slc.263.5434.09,26_3,5434,09,Distribution of PIL Entitlements in Column 7 - UT,Utility Corridors/Transmission,
,slc.263.5434.10,26_3,5434,10,Distribution of PIL Entitlements in Column 7 - Education,Utility Corridors/Transmission,
,slc.263.5434.11,26_3,5434,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Utility Corridors/Transmission,
,slc.263.5434.12,26_3,5434,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Utility Corridors/Transmission,
,slc.263.5434.13,26_3,5434,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Utility Corridors/Transmission,
,slc.263.5434.14,26_3,5434,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Utility Corridors/Transmission,
,slc.263.5434.15,26_3,5434,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Utility Corridors/Transmission,
,slc.263.5437.02,26_3,5437,02,Total PILS Levied,Ontario Lottery and Gaming Corp.,
,slc.263.5437.03,26_3,5437,03,PILS Levied - LT / ST,Ontario Lottery and Gaming Corp.,
,slc.263.5437.04,26_3,5437,04,PILS Levied - UT,Ontario Lottery and Gaming Corp.,
,slc.263.5437.05,26_3,5437,05,PILS Levied - Education,Ontario Lottery and Gaming Corp.,
,slc.263.5437.06,26_3,5437,06,Adjustment to PILS Levied,Ontario Lottery and Gaming Corp.,
,slc.263.5437.07,26_3,5437,07,TOTAL PIL Entitilement,Ontario Lottery and Gaming Corp.,
,slc.263.5437.08,26_3,5437,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Ontario Lottery and Gaming Corp.,
,slc.263.5437.09,26_3,5437,09,Distribution of PIL Entitlements in Column 7 - UT,Ontario Lottery and Gaming Corp.,
,slc.263.5437.10,26_3,5437,10,Distribution of PIL Entitlements in Column 7 - Education,Ontario Lottery and Gaming Corp.,
,slc.263.5437.11,26_3,5437,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Ontario Lottery and Gaming Corp.,
,slc.263.5437.12,26_3,5437,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Ontario Lottery and Gaming Corp.,
,slc.263.5437.13,26_3,5437,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Ontario Lottery and Gaming Corp.,
,slc.263.5437.14,26_3,5437,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Ontario Lottery and Gaming Corp.,
,slc.263.5437.15,26_3,5437,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Ontario Lottery and Gaming Corp.,
,slc.263.5440.02,26_3,5440,02,Total PILS Levied,Ontario Hydro Services Corporation,
,slc.263.5440.03,26_3,5440,03,PILS Levied - LT / ST,Ontario Hydro Services Corporation,
,slc.263.5440.04,26_3,5440,04,PILS Levied - UT,Ontario Hydro Services Corporation,
,slc.263.5440.05,26_3,5440,05,PILS Levied - Education,Ontario Hydro Services Corporation,
,slc.263.5440.06,26_3,5440,06,Adjustment to PILS Levied,Ontario Hydro Services Corporation,
,slc.263.5440.07,26_3,5440,07,TOTAL PIL Entitilement,Ontario Hydro Services Corporation,
,slc.263.5440.08,26_3,5440,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Ontario Hydro Services Corporation,
,slc.263.5440.09,26_3,5440,09,Distribution of PIL Entitlements in Column 7 - UT,Ontario Hydro Services Corporation,
,slc.263.5440.10,26_3,5440,10,Distribution of PIL Entitlements in Column 7 - Education,Ontario Hydro Services Corporation,
,slc.263.5440.11,26_3,5440,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Ontario Hydro Services Corporation,
,slc.263.5440.12,26_3,5440,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Ontario Hydro Services Corporation,
,slc.263.5440.13,26_3,5440,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Ontario Hydro Services Corporation,
,slc.263.5440.14,26_3,5440,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Ontario Hydro Services Corporation,
,slc.263.5440.15,26_3,5440,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Ontario Hydro Services Corporation,
,slc.263.5450.02,26_3,5450,02,Total PILS Levied,Ontario Power Generation Corporation,
,slc.263.5450.03,26_3,5450,03,PILS Levied - LT / ST,Ontario Power Generation Corporation,
,slc.263.5450.04,26_3,5450,04,PILS Levied - UT,Ontario Power Generation Corporation,
,slc.263.5450.05,26_3,5450,05,PILS Levied - Education,Ontario Power Generation Corporation,
,slc.263.5450.06,26_3,5450,06,Adjustment to PILS Levied,Ontario Power Generation Corporation,
,slc.263.5450.07,26_3,5450,07,TOTAL PIL Entitilement,Ontario Power Generation Corporation,
,slc.263.5450.08,26_3,5450,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Ontario Power Generation Corporation,
,slc.263.5450.09,26_3,5450,09,Distribution of PIL Entitlements in Column 7 - UT,Ontario Power Generation Corporation,
,slc.263.5450.10,26_3,5450,10,Distribution of PIL Entitlements in Column 7 - Education,Ontario Power Generation Corporation,
,slc.263.5450.11,26_3,5450,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Ontario Power Generation Corporation,
,slc.263.5450.12,26_3,5450,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Ontario Power Generation Corporation,
,slc.263.5450.13,26_3,5450,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Ontario Power Generation Corporation,
,slc.263.5450.14,26_3,5450,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Ontario Power Generation Corporation,
,slc.263.5450.15,26_3,5450,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Ontario Power Generation Corporation,
,slc.263.5460.02,26_3,5460,02,Total PILS Levied,Please specify,
,slc.263.5460.03,26_3,5460,03,PILS Levied - LT / ST,Please specify,
,slc.263.5460.04,26_3,5460,04,PILS Levied - UT,Please specify,
,slc.263.5460.05,26_3,5460,05,PILS Levied - Education,Please specify,
,slc.263.5460.06,26_3,5460,06,Adjustment to PILS Levied,Please specify,
,slc.263.5460.07,26_3,5460,07,TOTAL PIL Entitilement,Please specify,
,slc.263.5460.08,26_3,5460,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Please specify,
,slc.263.5460.09,26_3,5460,09,Distribution of PIL Entitlements in Column 7 - UT,Please specify,
,slc.263.5460.10,26_3,5460,10,Distribution of PIL Entitlements in Column 7 - Education,Please specify,
,slc.263.5460.11,26_3,5460,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Please specify,
,slc.263.5460.12,26_3,5460,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Please specify,
,slc.263.5460.13,26_3,5460,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Please specify,
,slc.263.5460.14,26_3,5460,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Please specify,
,slc.263.5460.15,26_3,5460,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Please specify,
,slc.263.5610.02,26_3,5610,02,Total PILS Levied,Municipal enterprises,
,slc.263.5610.03,26_3,5610,03,PILS Levied - LT / ST,Municipal enterprises,
,slc.263.5610.04,26_3,5610,04,PILS Levied - UT,Municipal enterprises,
,slc.263.5610.05,26_3,5610,05,PILS Levied - Education,Municipal enterprises,
,slc.263.5610.06,26_3,5610,06,Adjustment to PILS Levied,Municipal enterprises,
,slc.263.5610.07,26_3,5610,07,TOTAL PIL Entitilement,Municipal enterprises,
,slc.263.5610.08,26_3,5610,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Municipal enterprises,
,slc.263.5610.09,26_3,5610,09,Distribution of PIL Entitlements in Column 7 - UT,Municipal enterprises,
,slc.263.5610.10,26_3,5610,10,Distribution of PIL Entitlements in Column 7 - Education,Municipal enterprises,
,slc.263.5610.11,26_3,5610,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Municipal enterprises,
,slc.263.5610.12,26_3,5610,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Municipal enterprises,
,slc.263.5610.13,26_3,5610,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Municipal enterprises,
,slc.263.5610.14,26_3,5610,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Municipal enterprises,
,slc.263.5610.15,26_3,5610,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Municipal enterprises,
,slc.263.5910.02,26_3,5910,02,Total PILS Levied,"Other Municipalities, Enterprises",
,slc.263.5910.03,26_3,5910,03,PILS Levied - LT / ST,"Other Municipalities, Enterprises",
,slc.263.5910.04,26_3,5910,04,PILS Levied - UT,"Other Municipalities, Enterprises",
,slc.263.5910.05,26_3,5910,05,PILS Levied - Education,"Other Municipalities, Enterprises",
,slc.263.5910.06,26_3,5910,06,Adjustment to PILS Levied,"Other Municipalities, Enterprises",
,slc.263.5910.07,26_3,5910,07,TOTAL PIL Entitilement,"Other Municipalities, Enterprises",
,slc.263.5910.08,26_3,5910,08,Distribution of PIL Entitlements in Column 7 - LT / ST,"Other Municipalities, Enterprises",
,slc.263.5910.09,26_3,5910,09,Distribution of PIL Entitlements in Column 7 - UT,"Other Municipalities, Enterprises",
,slc.263.5910.10,26_3,5910,10,Distribution of PIL Entitlements in Column 7 - Education,"Other Municipalities, Enterprises",
,slc.263.5910.11,26_3,5910,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,"Other Municipalities, Enterprises",
,slc.263.5910.12,26_3,5910,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,"Other Municipalities, Enterprises",
,slc.263.5910.13,26_3,5910,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,"Other Municipalities, Enterprises",
,slc.263.5910.14,26_3,5910,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,"Other Municipalities, Enterprises",
,slc.263.5910.15,26_3,5910,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,"Other Municipalities, Enterprises",
,slc.263.5950.02,26_3,5950,02,Total PILS Levied,Amounts Added to PIL,
,slc.263.5950.03,26_3,5950,03,PILS Levied - LT / ST,Amounts Added to PIL,
,slc.263.5950.04,26_3,5950,04,PILS Levied - UT,Amounts Added to PIL,
,slc.263.5950.05,26_3,5950,05,PILS Levied - Education,Amounts Added to PIL,
,slc.263.5950.06,26_3,5950,06,Adjustment to PILS Levied,Amounts Added to PIL,
,slc.263.5950.07,26_3,5950,07,TOTAL PIL Entitilement,Amounts Added to PIL,
,slc.263.5950.08,26_3,5950,08,Distribution of PIL Entitlements in Column 7 - LT / ST,Amounts Added to PIL,
,slc.263.5950.09,26_3,5950,09,Distribution of PIL Entitlements in Column 7 - UT,Amounts Added to PIL,
,slc.263.5950.10,26_3,5950,10,Distribution of PIL Entitlements in Column 7 - Education,Amounts Added to PIL,
,slc.263.5950.11,26_3,5950,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,Amounts Added to PIL,
,slc.263.5950.12,26_3,5950,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,Amounts Added to PIL,
,slc.263.5950.13,26_3,5950,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,Amounts Added to PIL,
,slc.263.5950.14,26_3,5950,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,Amounts Added to PIL,
,slc.263.5950.15,26_3,5950,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,Amounts Added to PIL,
,slc.263.9599.02,26_3,9599,02,Total PILS Levied,TOTAL,
,slc.263.9599.03,26_3,9599,03,PILS Levied - LT / ST,TOTAL,
,slc.263.9599.04,26_3,9599,04,PILS Levied - UT,TOTAL,
,slc.263.9599.05,26_3,9599,05,PILS Levied - Education,TOTAL,
,slc.263.9599.06,26_3,9599,06,Adjustment to PILS Levied,TOTAL,
,slc.263.9599.07,26_3,9599,07,TOTAL PIL Entitilement,TOTAL,
,slc.263.9599.08,26_3,9599,08,Distribution of PIL Entitlements in Column 7 - LT / ST,TOTAL,
,slc.263.9599.09,26_3,9599,09,Distribution of PIL Entitlements in Column 7 - UT,TOTAL,
,slc.263.9599.10,26_3,9599,10,Distribution of PIL Entitlements in Column 7 - Education,TOTAL,
,slc.263.9599.11,26_3,9599,11,Distribution of PIL Entitlements in Column 12 by School Board - English Public,TOTAL,
,slc.263.9599.12,26_3,9599,12,Distribution of PIL Entitlements in Column 12 by School Board - French Public,TOTAL,
,slc.263.9599.13,26_3,9599,13,Distribution of PIL Entitlements in Column 12 by School Board - English Separate,TOTAL,
,slc.263.9599.14,26_3,9599,14,Distribution of PIL Entitlements in Column 12 by School Board - French Separate,TOTAL,
,slc.263.9599.15,26_3,9599,15,Distribution of PIL Entitlements in Column 12 by School Board - Other,TOTAL,
,slc.40.210.01,40,210,01,"Salaries, Wages and Employee Benefits",Members of council,
,slc.40.210.02,40,210,02,Interest on Long Term Debt,Members of council,
,slc.40.210.03,40,210,03,Materials,Members of council,
,slc.40.210.04,40,210,04,Contracted Services,Members of council,
,slc.40.210.05,40,210,05,Rents and Financial Expenses,Members of council,
,slc.40.210.06,40,210,06,External Transfers,Members of council,
,slc.40.210.07,40,210,07,Subtotal,Members of council,
,slc.40.210.08,40,210,08,Long Term Debt Charges (Principal),Members of council,
,slc.40.210.09,40,210,09,Transfers to Own Funds,Members of council,
,slc.40.210.10,40,210,10,- n.a. -,Members of council,
,slc.40.210.11,40,210,11,Total Expenditures,Members of council,
,slc.40.210.12,40,210,12,Inter-Functional Adjustments,Members of council,
,slc.40.210.13,40,210,13,Allocation of Program Support,Members of council,
,slc.40.210.14,40,210,14,Amounts for Unfunded Liabilities,Members of council,
,slc.40.210.15,40,210,15,TOTAL Expenditures LESS Unfunded Liabilities,Members of council,
,slc.40.210.16,40,210,16,Amortization,Members of council,
,slc.40.220.01,40,220,01,"Salaries, Wages and Employee Benefits",General government support,
,slc.40.220.02,40,220,02,Interest on Long Term Debt,General government support,
,slc.40.220.03,40,220,03,Materials,General government support,
,slc.40.220.04,40,220,04,Contracted Services,General government support,
,slc.40.220.05,40,220,05,Rents and Financial Expenses,General government support,
,slc.40.220.06,40,220,06,External Transfers,General government support,
,slc.40.220.07,40,220,07,Subtotal,General government support,
,slc.40.220.08,40,220,08,Long Term Debt Charges (Principal),General government support,
,slc.40.220.09,40,220,09,Transfers to Own Funds,General government support,
,slc.40.220.10,40,220,10,- n.a. -,General government support,
,slc.40.220.11,40,220,11,Total Expenditures,General government support,
,slc.40.220.12,40,220,12,Inter-Functional Adjustments,General government support,
,slc.40.220.13,40,220,13,Allocation of Program Support,General government support,
,slc.40.220.14,40,220,14,Amounts for Unfunded Liabilities,General government support,
,slc.40.220.15,40,220,15,TOTAL Expenditures LESS Unfunded Liabilities,General government support,
,slc.40.220.16,40,220,16,Amortization,General government support,
,slc.40.230.01,40,230,01,"Salaries, Wages and Employee Benefits",Corporate overhead,
,slc.40.230.02,40,230,02,Interest on Long Term Debt,Corporate overhead,
,slc.40.230.03,40,230,03,Materials,Corporate overhead,
,slc.40.230.04,40,230,04,Contracted Services,Corporate overhead,
,slc.40.230.05,40,230,05,Rents and Financial Expenses,Corporate overhead,
,slc.40.230.06,40,230,06,External Transfers,Corporate overhead,
,slc.40.230.07,40,230,07,Subtotal,Corporate overhead,
,slc.40.230.08,40,230,08,Long Term Debt Charges (Principal),Corporate overhead,
,slc.40.230.09,40,230,09,Transfers to Own Funds,Corporate overhead,
,slc.40.230.10,40,230,10,- n.a. -,Corporate overhead,
,slc.40.230.11,40,230,11,Total Expenditures,Corporate overhead,
,slc.40.230.12,40,230,12,Inter-Functional Adjustments,Corporate overhead,
,slc.40.230.13,40,230,13,Allocation of Program Support,Corporate overhead,
,slc.40.230.14,40,230,14,Amounts for Unfunded Liabilities,Corporate overhead,
,slc.40.230.15,40,230,15,TOTAL Expenditures LESS Unfunded Liabilities,Corporate overhead,
,slc.40.230.16,40,230,16,Amortization,Corporate overhead,
,slc.40.240.01,40,240,01,"Salaries, Wages and Employee Benefits",Governance,
,slc.40.240.02,40,240,02,Interest on Long Term Debt,Governance,
,slc.40.240.03,40,240,03,Materials,Governance,
,slc.40.240.04,40,240,04,Contracted Services,Governance,
,slc.40.240.05,40,240,05,Rents and Financial Expenses,Governance,
,slc.40.240.06,40,240,06,External Transfers,Governance,
,slc.40.240.07,40,240,07,Subtotal,Governance,
,slc.40.240.08,40,240,08,Long Term Debt Charges (Principal),Governance,
,slc.40.240.09,40,240,09,Transfers to Own Funds,Governance,
,slc.40.240.10,40,240,10,- n.a. -,Governance,
,slc.40.240.11,40,240,11,Total Expenditures,Governance,
,slc.40.240.12,40,240,12,Inter-Functional Adjustments,Governance,
,slc.40.240.13,40,240,13,Allocation of Program Support,Governance,
,slc.40.240.14,40,240,14,Amounts for Unfunded Liabilities,Governance,
,slc.40.240.15,40,240,15,TOTAL Expenditures LESS Unfunded Liabilities,Governance,
,slc.40.240.16,40,240,16,Amortization,Governance,
,slc.40.250.01,40,250,01,"Salaries, Wages and Employee Benefits",Corporate Management,
,slc.40.250.02,40,250,02,Interest on Long Term Debt,Corporate Management,
,slc.40.250.03,40,250,03,Materials,Corporate Management,
,slc.40.250.04,40,250,04,Contracted Services,Corporate Management,
,slc.40.250.05,40,250,05,Rents and Financial Expenses,Corporate Management,
,slc.40.250.06,40,250,06,External Transfers,Corporate Management,
,slc.40.250.07,40,250,07,Subtotal,Corporate Management,
,slc.40.250.08,40,250,08,Long Term Debt Charges (Principal),Corporate Management,
,slc.40.250.09,40,250,09,Transfers to Own Funds,Corporate Management,
,slc.40.250.10,40,250,10,- n.a. -,Corporate Management,
,slc.40.250.11,40,250,11,Total Expenditures,Corporate Management,
,slc.40.250.12,40,250,12,Inter-Functional Adjustments,Corporate Management,
,slc.40.250.13,40,250,13,Allocation of Program Support,Corporate Management,
,slc.40.250.14,40,250,14,Amounts for Unfunded Liabilities,Corporate Management,
,slc.40.250.15,40,250,15,TOTAL Expenditures LESS Unfunded Liabilities,Corporate Management,
,slc.40.250.16,40,250,16,Amortization,Corporate Management,
,slc.40.260.01,40,260,01,"Salaries, Wages and Employee Benefits",Program Support,
,slc.40.260.02,40,260,02,Interest on Long Term Debt,Program Support,
,slc.40.260.03,40,260,03,Materials,Program Support,
,slc.40.260.04,40,260,04,Contracted Services,Program Support,
,slc.40.260.05,40,260,05,Rents and Financial Expenses,Program Support,
,slc.40.260.06,40,260,06,External Transfers,Program Support,
,slc.40.260.07,40,260,07,Subtotal,Program Support,
,slc.40.260.08,40,260,08,Long Term Debt Charges (Principal),Program Support,
,slc.40.260.09,40,260,09,Transfers to Own Funds,Program Support,
,slc.40.260.10,40,260,10,- n.a. -,Program Support,
,slc.40.260.11,40,260,11,Total Expenditures,Program Support,
,slc.40.260.12,40,260,12,Inter-Functional Adjustments,Program Support,
,slc.40.260.13,40,260,13,Allocation of Program Support,Program Support,
,slc.40.260.14,40,260,14,Amounts for Unfunded Liabilities,Program Support,
,slc.40.260.15,40,260,15,TOTAL Expenditures LESS Unfunded Liabilities,Program Support,
,slc.40.260.16,40,260,16,Amortization,Program Support,
,slc.40.290.01,40,290,01,"Salaries, Wages and Employee Benefits",Other,
,slc.40.290.02,40,290,02,Interest on Long Term Debt,Other,
,slc.40.290.03,40,290,03,Materials,Other,
,slc.40.290.04,40,290,04,Contracted Services,Other,
,slc.40.290.05,40,290,05,Rents and Financial Expenses,Other,
,slc.40.290.06,40,290,06,External Transfers,Other,
,slc.40.290.07,40,290,07,Subtotal,Other,
,slc.40.290.08,40,290,08,Long Term Debt Charges (Principal),Other,
,slc.40.290.09,40,290,09,Transfers to Own Funds,Other,
,slc.40.290.10,40,290,10,- n.a. -,Other,
,slc.40.290.11,40,290,11,Total Expenditures,Other,
,slc.40.290.12,40,290,12,Inter-Functional Adjustments,Other,
,slc.40.290.13,40,290,13,Allocation of Program Support,Other,
,slc.40.290.14,40,290,14,Amounts for Unfunded Liabilities,Other,
,slc.40.290.15,40,290,15,TOTAL Expenditures LESS Unfunded Liabilities,Other,
,slc.40.290.16,40,290,16,Amortization,Other,
,slc.40.299.01,40,299,01,"Salaries, Wages and Employee Benefits",Subtotal,
,slc.40.299.02,40,299,02,Interest on Long Term Debt,Subtotal,
,slc.40.299.03,40,299,03,Materials,Subtotal,
,slc.40.299.04,40,299,04,Contracted Services,Subtotal,
,slc.40.299.05,40,299,05,Rents and Financial Expenses,Subtotal,
,slc.40.299.06,40,299,06,External Transfers,Subtotal,
,slc.40.299.07,40,299,07,Subtotal,Subtotal,
,slc.40.299.08,40,299,08,Long Term Debt Charges (Principal),Subtotal,
,slc.40.299.09,40,299,09,Transfers to Own Funds,Subtotal,
,slc.40.299.10,40,299,10,- n.a. -,Subtotal,
,slc.40.299.11,40,299,11,Total Expenditures,Subtotal,
,slc.40.299.12,40,299,12,Inter-Functional Adjustments,Subtotal,
,slc.40.299.13,40,299,13,Allocation of Program Support,Subtotal,
,slc.40.299.14,40,299,14,Amounts for Unfunded Liabilities,Subtotal,
,slc.40.299.15,40,299,15,TOTAL Expenditures LESS Unfunded Liabilities,Subtotal,
,slc.40.299.16,40,299,16,Amortization,Subtotal,
,slc.40.410.01,40,410,01,"Salaries, Wages and Employee Benefits",Fire,
,slc.40.410.02,40,410,02,Interest on Long Term Debt,Fire,
,slc.40.410.03,40,410,03,Materials,Fire,
,slc.40.410.04,40,410,04,Contracted Services,Fire,
,slc.40.410.05,40,410,05,Rents and Financial Expenses,Fire,
,slc.40.410.06,40,410,06,External Transfers,Fire,
,slc.40.410.07,40,410,07,Subtotal,Fire,
,slc.40.410.08,40,410,08,Long Term Debt Charges (Principal),Fire,
,slc.40.410.09,40,410,09,Transfers to Own Funds,Fire,
,slc.40.410.10,40,410,10,- n.a. -,Fire,
,slc.40.410.11,40,410,11,Total Expenditures,Fire,
,slc.40.410.12,40,410,12,Inter-Functional Adjustments,Fire,
,slc.40.410.13,40,410,13,Allocation of Program Support,Fire,
,slc.40.410.14,40,410,14,Amounts for Unfunded Liabilities,Fire,
,slc.40.410.15,40,410,15,TOTAL Expenditures LESS Unfunded Liabilities,Fire,
,slc.40.410.16,40,410,16,Amortization,Fire,
,slc.40.420.01,40,420,01,"Salaries, Wages and Employee Benefits",Police,
,slc.40.420.02,40,420,02,Interest on Long Term Debt,Police,
,slc.40.420.03,40,420,03,Materials,Police,
,slc.40.420.04,40,420,04,Contracted Services,Police,
,slc.40.420.05,40,420,05,Rents and Financial Expenses,Police,
,slc.40.420.06,40,420,06,External Transfers,Police,
,slc.40.420.07,40,420,07,Subtotal,Police,
,slc.40.420.08,40,420,08,Long Term Debt Charges (Principal),Police,
,slc.40.420.09,40,420,09,Transfers to Own Funds,Police,
,slc.40.420.10,40,420,10,- n.a. -,Police,
,slc.40.420.11,40,420,11,Total Expenditures,Police,
,slc.40.420.12,40,420,12,Inter-Functional Adjustments,Police,
,slc.40.420.13,40,420,13,Allocation of Program Support,Police,
,slc.40.420.14,40,420,14,Amounts for Unfunded Liabilities,Police,
,slc.40.420.15,40,420,15,TOTAL Expenditures LESS Unfunded Liabilities,Police,
,slc.40.420.16,40,420,16,Amortization,Police,
,slc.40.430.01,40,430,01,"Salaries, Wages and Employee Benefits",Conservation authority,
,slc.40.430.02,40,430,02,Interest on Long Term Debt,Conservation authority,
,slc.40.430.03,40,430,03,Materials,Conservation authority,
,slc.40.430.04,40,430,04,Contracted Services,Conservation authority,
,slc.40.430.05,40,430,05,Rents and Financial Expenses,Conservation authority,
,slc.40.430.06,40,430,06,External Transfers,Conservation authority,
,slc.40.430.07,40,430,07,Subtotal,Conservation authority,
,slc.40.430.08,40,430,08,Long Term Debt Charges (Principal),Conservation authority,
,slc.40.430.09,40,430,09,Transfers to Own Funds,Conservation authority,
,slc.40.430.10,40,430,10,- n.a. -,Conservation authority,
,slc.40.430.11,40,430,11,Total Expenditures,Conservation authority,
,slc.40.430.12,40,430,12,Inter-Functional Adjustments,Conservation authority,
,slc.40.430.13,40,430,13,Allocation of Program Support,Conservation authority,
,slc.40.430.14,40,430,14,Amounts for Unfunded Liabilities,Conservation authority,
,slc.40.430.15,40,430,15,TOTAL Expenditures LESS Unfunded Liabilities,Conservation authority,
,slc.40.430.16,40,430,16,Amortization,Conservation authority,
,slc.40.440.01,40,440,01,"Salaries, Wages and Employee Benefits",Protective inspection and control,
,slc.40.440.02,40,440,02,Interest on Long Term Debt,Protective inspection and control,
,slc.40.440.03,40,440,03,Materials,Protective inspection and control,
,slc.40.440.04,40,440,04,Contracted Services,Protective inspection and control,
,slc.40.440.05,40,440,05,Rents and Financial Expenses,Protective inspection and control,
,slc.40.440.06,40,440,06,External Transfers,Protective inspection and control,
,slc.40.440.07,40,440,07,Subtotal,Protective inspection and control,
,slc.40.440.08,40,440,08,Long Term Debt Charges (Principal),Protective inspection and control,
,slc.40.440.09,40,440,09,Transfers to Own Funds,Protective inspection and control,
,slc.40.440.10,40,440,10,- n.a. -,Protective inspection and control,
,slc.40.440.11,40,440,11,Total Expenditures,Protective inspection and control,
,slc.40.440.12,40,440,12,Inter-Functional Adjustments,Protective inspection and control,
,slc.40.440.13,40,440,13,Allocation of Program Support,Protective inspection and control,
,slc.40.440.14,40,440,14,Amounts for Unfunded Liabilities,Protective inspection and control,
,slc.40.440.15,40,440,15,TOTAL Expenditures LESS Unfunded Liabilities,Protective inspection and control,
,slc.40.440.16,40,440,16,Amortization,Protective inspection and control,
,slc.40.450.01,40,450,01,"Salaries, Wages and Employee Benefits",Emergency measures,
,slc.40.450.02,40,450,02,Interest on Long Term Debt,Emergency measures,
,slc.40.450.03,40,450,03,Materials,Emergency measures,
,slc.40.450.04,40,450,04,Contracted Services,Emergency measures,
,slc.40.450.05,40,450,05,Rents and Financial Expenses,Emergency measures,
,slc.40.450.06,40,450,06,External Transfers,Emergency measures,
,slc.40.450.07,40,450,07,Subtotal,Emergency measures,
,slc.40.450.08,40,450,08,Long Term Debt Charges (Principal),Emergency measures,
,slc.40.450.09,40,450,09,Transfers to Own Funds,Emergency measures,
,slc.40.450.10,40,450,10,- n.a. -,Emergency measures,
