Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include
slc.40.422.05,40,422,05,Rents and Financial Expenses,Prisoner transportation,,,
slc.40.422.06,40,422,06,External Transfers,Prisoner transportation,,,
slc.40.422.07,40,422,07,Total Expenses Before Adjustments,Prisoner transportation,,,
slc.40.422.08,40,422,08,- n.a. -,Prisoner transportation,,,
slc.40.422.09,40,422,09,- n.a. -,Prisoner transportation,,,
slc.40.422.10,40,422,10,- n.a. -,Prisoner transportation,,,
slc.40.422.11,40,422,11,Total Expenses After Adjustments,Prisoner transportation,,,
slc.40.422.12,40,422,12,Inter-Functional Adjustments,Prisoner transportation,,,
slc.40.422.13,40,422,13,Allocation of Program Support,Prisoner transportation,,,
slc.40.422.14,40,422,14,- n.a. -,Prisoner transportation,,,
slc.40.422.15,40,422,15,- n.a. -,Prisoner transportation,,,
slc.40.422.16,40,422,16,Amortization,Prisoner transportation,,,
slc.40.430.01,40,430,01,"Salaries, Wages and Employee Benefits",Conservation authority,,,
slc.40.430.02,40,430,02,Interest on Long Term Debt,Conservation authority,,,
slc.40.430.03,40,430,03,Materials,Conservation authority,,,
slc.40.430.04,40,430,04,Contracted Services,Conservation authority,,,
slc.40.430.05,40,430,05,Rents and Financial Expenses,Conservation authority,,,
slc.40.430.06,40,430,06,External Transfers,Conservation authority,,,
slc.40.430.07,40,430,07,Total Expenses Before Adjustments,Conservation authority,,,
slc.40.430.08,40,430,08,- n.a. -,Conservation authority,,,
slc.40.430.09,40,430,09,- n.a. -,Conservation authority,,,
slc.40.430.10,40,430,10,- n.a. -,Conservation authority,,,
slc.40.430.11,40,430,11,Total Expenses After Adjustments,Conservation authority,,,
slc.40.430.12,40,430,12,Inter-Functional Adjustments,Conservation authority,,,
slc.40.430.13,40,430,13,Allocation of Program Support,Conservation authority,,,
slc.40.430.14,40,430,14,- n.a. -,Conservation authority,,,
slc.40.430.15,40,430,15,- n.a. -,Conservation authority,,,
slc.40.430.16,40,430,16,Amortization,Conservation authority,,,
slc.40.440.01,40,440,01,"Salaries, Wages and Employee Benefits",Protective inspection and control,,,
slc.40.440.02,40,440,02,Interest on Long Term Debt,Protective inspection and control,,,
slc.40.440.03,40,440,03,Materials,Protective inspection and control,,,
slc.40.440.04,40,440,04,Contracted Services,Protective inspection and control,,,
slc.40.440.05,40,440,05,Rents and Financial Expenses,Protective inspection and control,,,
slc.40.440.06,40,440,06,External Transfers,Protective inspection and control,,,
slc.40.440.07,40,440,07,Total Expenses Before Adjustments,Protective inspection and control,,,
slc.40.440.08,40,440,08,- n.a. -,Protective inspection and control,,,
slc.40.440.09,40,440,09,- n.a. -,Protective inspection and control,,,
slc.40.440.10,40,440,10,- n.a. -,Protective inspection and control,,,
slc.40.440.11,40,440,11,Total Expenses After Adjustments,Protective inspection and control,,,
slc.40.440.12,40,440,12,Inter-Functional Adjustments,Protective inspection and control,,,
slc.40.440.13,40,440,13,Allocation of Program Support,Protective inspection and control,,,
slc.40.440.14,40,440,14,- n.a. -,Protective inspection and control,,,
slc.40.440.15,40,440,15,- n.a. -,Protective inspection and control,,,
slc.40.440.16,40,440,16,Amortization,Protective inspection and control,,,
slc.40.445.01,40,445,01,"Salaries, Wages and Employee Benefits",Building permit and inspection services,,,
slc.40.445.02,40,445,02,Interest on Long Term Debt,Building permit and inspection services,,,
slc.40.445.03,40,445,03,Materials,Building permit and inspection services,,,
slc.40.445.04,40,445,04,Contracted Services,Building permit and inspection services,,,
slc.40.445.05,40,445,05,Rents and Financial Expenses,Building permit and inspection services,,,
slc.40.445.06,40,445,06,External Transfers,Building permit and inspection services,,,
slc.40.445.07,40,445,07,Total Expenses Before Adjustments,Building permit and inspection services,,,
slc.40.445.08,40,445,08,- n.a. -,Building permit and inspection services,,,
slc.40.445.09,40,445,09,- n.a. -,Building permit and inspection services,,,
slc.40.445.10,40,445,10,- n.a. -,Building permit and inspection services,,,
slc.40.445.11,40,445,11,Total Expenses After Adjustments,Building permit and inspection services,,,
slc.40.445.12,40,445,12,Inter-Functional Adjustments,Building permit and inspection services,,,
slc.40.445.13,40,445,13,Allocation of Program Support,Building permit and inspection services,,,
slc.40.445.14,40,445,14,- n.a. -,Building permit and inspection services,,,
slc.40.445.15,40,445,15,- n.a. -,Building permit and inspection services,,,
slc.40.445.16,40,445,16,Amortization,Building permit and inspection services,,,
slc.40.450.01,40,450,01,"Salaries, Wages and Employee Benefits",Emergency measures,,,
slc.40.450.02,40,450,02,Interest on Long Term Debt,Emergency measures,,,
slc.40.450.03,40,450,03,Materials,Emergency measures,,,
slc.40.450.04,40,450,04,Contracted Services,Emergency measures,,,
slc.40.450.05,40,450,05,Rents and Financial Expenses,Emergency measures,,,
slc.40.450.06,40,450,06,External Transfers,Emergency measures,,,
slc.40.450.07,40,450,07,Total Expenses Before Adjustments,Emergency measures,,,
slc.40.450.08,40,450,08,- n.a. -,Emergency measures,,,
slc.40.450.09,40,450,09,- n.a. -,Emergency measures,,,
slc.40.450.10,40,450,10,- n.a. -,Emergency measures,,,
slc.40.450.11,40,450,11,Total Expenses After Adjustments,Emergency measures,,,
slc.40.450.12,40,450,12,Inter-Functional Adjustments,Emergency measures,,,
slc.40.450.13,40,450,13,Allocation of Program Support,Emergency measures,,,
slc.40.450.14,40,450,14,- n.a. -,Emergency measures,,,
slc.40.450.15,40,450,15,- n.a. -,Emergency measures,,,
slc.40.450.16,40,450,16,Amortization,Emergency measures,,,
slc.40.460.01,40,460,01,"Salaries, Wages and Employee Benefits",Provincial Offences Act (POA),,,
slc.40.460.02,40,460,02,Interest on Long Term Debt,Provincial Offences Act (POA),,,
slc.40.460.03,40,460,03,Materials,Provincial Offences Act (POA),,,
slc.40.460.04,40,460,04,Contracted Services,Provincial Offences Act (POA),,,
slc.40.460.05,40,460,05,Rents and Financial Expenses,Provincial Offences Act (POA),,,
slc.40.460.06,40,460,06,External Transfers,Provincial Offences Act (POA),,,
slc.40.460.07,40,460,07,Total Expenses Before Adjustments,Provincial Offences Act (POA),,,
slc.40.460.08,40,460,08,- n.a. -,Provincial Offences Act (POA),,,
slc.40.460.09,40,460,09,- n.a. -,Provincial Offences Act (POA),,,
slc.40.460.10,40,460,10,- n.a. -,Provincial Offences Act (POA),,,
slc.40.460.11,40,460,11,Total Expenses After Adjustments,Provincial Offences Act (POA),,,
slc.40.460.12,40,460,12,Inter-Functional Adjustments,Provincial Offences Act (POA),,,
slc.40.460.13,40,460,13,Allocation of Program Support,Provincial Offences Act (POA),,,
slc.40.460.14,40,460,14,- n.a. -,Provincial Offences Act (POA),,,
slc.40.460.15,40,460,15,- n.a. -,Provincial Offences Act (POA),,,
slc.40.460.16,40,460,16,Amortization,Provincial Offences Act (POA),,,
slc.40.498.01,40,498,01,"Salaries, Wages and Employee Benefits",Please specify,,,
slc.40.498.02,40,498,02,Interest on Long Term Debt,Please specify,,,
slc.40.498.03,40,498,03,Materials,Please specify,,,
slc.40.498.04,40,498,04,Contracted Services,Please specify,,,
slc.40.498.05,40,498,05,Rents and Financial Expenses,Please specify,,,
slc.40.498.06,40,498,06,External Transfers,Please specify,,,
slc.40.498.07,40,498,07,Total Expenses Before Adjustments,Please specify,,,
slc.40.498.08,40,498,08,- n.a. -,Please specify,,,
slc.40.498.09,40,498,09,- n.a. -,Please specify,,,
slc.40.498.10,40,498,10,- n.a. -,Please specify,,,
slc.40.498.11,40,498,11,Total Expenses After Adjustments,Please specify,,,
slc.40.498.12,40,498,12,Inter-Functional Adjustments,Please specify,,,
slc.40.498.13,40,498,13,Allocation of Program Support,Please specify,,,
slc.40.498.14,40,498,14,- n.a. -,Please specify,,,
slc.40.498.15,40,498,15,- n.a. -,Please specify,,,
slc.40.498.16,40,498,16,Amortization,Please specify,,,
slc.40.499.01,40,499,01,"Salaries, Wages and Employee Benefits",Subtotal,,,
slc.40.499.02,40,499,02,Interest on Long Term Debt,Subtotal,,,
slc.40.499.03,40,499,03,Materials,Subtotal,,,
slc.40.499.04,40,499,04,Contracted Services,Subtotal,,,
slc.40.499.05,40,499,05,Rents and Financial Expenses,Subtotal,,,
slc.40.499.06,40,499,06,External Transfers,Subtotal,,,
slc.40.499.07,40,499,07,Total Expenses Before Adjustments,Subtotal,,,
slc.40.499.08,40,499,08,- n.a. -,Subtotal,,,
slc.40.499.09,40,499,09,- n.a. -,Subtotal,,,
slc.40.499.10,40,499,10,- n.a. -,Subtotal,,,
slc.40.499.11,40,499,11,Total Expenses After Adjustments,Subtotal,,,
slc.40.499.12,40,499,12,Inter-Functional Adjustments,Subtotal,,,
slc.40.499.13,40,499,13,Allocation of Program Support,Subtotal,,,
slc.40.499.14,40,499,14,- n.a. -,Subtotal,,,
slc.40.499.15,40,499,15,- n.a. -,Subtotal,,,
slc.40.499.16,40,499,16,Amortization,Subtotal,,,
slc.40.611.01,40,611,01,"Salaries, Wages and Employee Benefits",Roads - paved,,,
slc.40.611.02,40,611,02,Interest on Long Term Debt,Roads - paved,,,
slc.40.611.03,40,611,03,Materials,Roads - paved,,,
slc.40.611.04,40,611,04,Contracted Services,Roads - paved,,,
slc.40.611.05,40,611,05,Rents and Financial Expenses,Roads - paved,,,
slc.40.611.06,40,611,06,External Transfers,Roads - paved,,,
slc.40.611.07,40,611,07,Total Expenses Before Adjustments,Roads - paved,,,
slc.40.611.08,40,611,08,- n.a. -,Roads - paved,,,
slc.40.611.09,40,611,09,- n.a. -,Roads - paved,,,
slc.40.611.10,40,611,10,- n.a. -,Roads - paved,,,
slc.40.611.11,40,611,11,Total Expenses After Adjustments,Roads - paved,,,
slc.40.611.12,40,611,12,Inter-Functional Adjustments,Roads - paved,,,
slc.40.611.13,40,611,13,Allocation of Program Support,Roads - paved,,,
slc.40.611.14,40,611,14,- n.a. -,Roads - paved,,,
slc.40.611.15,40,611,15,- n.a. -,Roads - paved,,,
slc.40.611.16,40,611,16,Amortization,Roads - paved,,,
slc.40.612.01,40,612,01,"Salaries, Wages and Employee Benefits",Roads - unpaved,,,
slc.40.612.02,40,612,02,Interest on Long Term Debt,Roads - unpaved,,,
slc.40.612.03,40,612,03,Materials,Roads - unpaved,,,
slc.40.612.04,40,612,04,Contracted Services,Roads - unpaved,,,
slc.40.612.05,40,612,05,Rents and Financial Expenses,Roads - unpaved,,,
slc.40.612.06,40,612,06,External Transfers,Roads - unpaved,,,
slc.40.612.07,40,612,07,Total Expenses Before Adjustments,Roads - unpaved,,,
slc.40.612.08,40,612,08,- n.a. -,Roads - unpaved,,,
slc.40.612.09,40,612,09,- n.a. -,Roads - unpaved,,,
slc.40.612.10,40,612,10,- n.a. -,Roads - unpaved,,,
slc.40.612.11,40,612,11,Total Expenses After Adjustments,Roads - unpaved,,,
slc.40.612.12,40,612,12,Inter-Functional Adjustments,Roads - unpaved,,,
slc.40.612.13,40,612,13,Allocation of Program Support,Roads - unpaved,,,
slc.40.612.14,40,612,14,- n.a. -,Roads - unpaved,,,
slc.40.612.15,40,612,15,- n.a. -,Roads - unpaved,,,
slc.40.612.16,40,612,16,Amortization,Roads - unpaved,,,
slc.40.613.01,40,613,01,"Salaries, Wages and Employee Benefits",Roads - bridges and culverts,,,
slc.40.613.02,40,613,02,Interest on Long Term Debt,Roads - bridges and culverts,,,
slc.40.613.03,40,613,03,Materials,Roads - bridges and culverts,,,
slc.40.613.04,40,613,04,Contracted Services,Roads - bridges and culverts,,,
slc.40.613.05,40,613,05,Rents and Financial Expenses,Roads - bridges and culverts,,,
slc.40.613.06,40,613,06,External Transfers,Roads - bridges and culverts,,,
slc.40.613.07,40,613,07,Total Expenses Before Adjustments,Roads - bridges and culverts,,,
slc.40.613.08,40,613,08,- n.a. -,Roads - bridges and culverts,,,
slc.40.613.09,40,613,09,- n.a. -,Roads - bridges and culverts,,,
slc.40.613.10,40,613,10,- n.a. -,Roads - bridges and culverts,,,
slc.40.613.11,40,613,11,Total Expenses After Adjustments,Roads - bridges and culverts,,,
slc.40.613.12,40,613,12,Inter-Functional Adjustments,Roads - bridges and culverts,,,
slc.40.613.13,40,613,13,Allocation of Program Support,Roads - bridges and culverts,,,
slc.40.613.14,40,613,14,- n.a. -,Roads - bridges and culverts,,,
slc.40.613.15,40,613,15,- n.a. -,Roads - bridges and culverts,,,
slc.40.613.16,40,613,16,Amortization,Roads - bridges and culverts,,,
slc.40.614.01,40,614,01,"Salaries, Wages and Employee Benefits",Roadways - traffic operations & roadside,,,
slc.40.614.02,40,614,02,Interest on Long Term Debt,Roadways - traffic operations & roadside,,,
slc.40.614.03,40,614,03,Materials,Roadways - traffic operations & roadside,,,
slc.40.614.04,40,614,04,Contracted Services,Roadways - traffic operations & roadside,,,
slc.40.614.05,40,614,05,Rents and Financial Expenses,Roadways - traffic operations & roadside,,,
slc.40.614.06,40,614,06,External Transfers,Roadways - traffic operations & roadside,,,
slc.40.614.07,40,614,07,Total Expenses Before Adjustments,Roadways - traffic operations & roadside,,,
slc.40.614.08,40,614,08,- n.a. -,Roadways - traffic operations & roadside,,,
slc.40.614.09,40,614,09,- n.a. -,Roadways - traffic operations & roadside,,,
slc.40.614.10,40,614,10,- n.a. -,Roadways - traffic operations & roadside,,,
slc.40.614.11,40,614,11,Total Expenses After Adjustments,Roadways - traffic operations & roadside,,,
slc.40.614.12,40,614,12,Inter-Functional Adjustments,Roadways - traffic operations & roadside,,,
slc.40.614.13,40,614,13,Allocation of Program Support,Roadways - traffic operations & roadside,,,
slc.40.614.14,40,614,14,- n.a. -,Roadways - traffic operations & roadside,,,
slc.40.614.15,40,614,15,- n.a. -,Roadways - traffic operations & roadside,,,
slc.40.614.16,40,614,16,Amortization,Roadways - traffic operations & roadside,,,
slc.40.621.01,40,621,01,"Salaries, Wages and Employee Benefits","Winter control - except sidewalks,parking lots",,,
slc.40.621.02,40,621,02,Interest on Long Term Debt,"Winter control - except sidewalks,parking lots",,,
slc.40.621.03,40,621,03,Materials,"Winter control - except sidewalks,parking lots",,,
slc.40.621.04,40,621,04,Contracted Services,"Winter control - except sidewalks,parking lots",,,
slc.40.621.05,40,621,05,Rents and Financial Expenses,"Winter control - except sidewalks,parking lots",,,
slc.40.621.06,40,621,06,External Transfers,"Winter control - except sidewalks,parking lots",,,
slc.40.621.07,40,621,07,Total Expenses Before Adjustments,"Winter control - except sidewalks,parking lots",,,
slc.40.621.08,40,621,08,- n.a. -,"Winter control - except sidewalks,parking lots",,,
slc.40.621.09,40,621,09,- n.a. -,"Winter control - except sidewalks,parking lots",,,
slc.40.621.10,40,621,10,- n.a. -,"Winter control - except sidewalks,parking lots",,,
slc.40.621.11,40,621,11,Total Expenses After Adjustments,"Winter control - except sidewalks,parking lots",,,
slc.40.621.12,40,621,12,Inter-Functional Adjustments,"Winter control - except sidewalks,parking lots",,,
slc.40.621.13,40,621,13,Allocation of Program Support,"Winter control - except sidewalks,parking lots",,,
slc.40.621.14,40,621,14,- n.a. -,"Winter control - except sidewalks,parking lots",,,
slc.40.621.15,40,621,15,- n.a. -,"Winter control - except sidewalks,parking lots",,,
slc.40.621.16,40,621,16,Amortization,"Winter control - except sidewalks,parking lots",,,
slc.40.622.01,40,622,01,"Salaries, Wages and Employee Benefits","Winter control - sidewalks,parking lots only",,,
slc.40.622.02,40,622,02,Interest on Long Term Debt,"Winter control - sidewalks,parking lots only",,,
slc.40.622.03,40,622,03,Materials,"Winter control - sidewalks,parking lots only",,,
slc.40.622.04,40,622,04,Contracted Services,"Winter control - sidewalks,parking lots only",,,
slc.40.622.05,40,622,05,Rents and Financial Expenses,"Winter control - sidewalks,parking lots only",,,
slc.40.622.06,40,622,06,External Transfers,"Winter control - sidewalks,parking lots only",,,
slc.40.622.07,40,622,07,Total Expenses Before Adjustments,"Winter control - sidewalks,parking lots only",,,
slc.40.622.08,40,622,08,- n.a. -,"Winter control - sidewalks,parking lots only",,,
slc.40.622.09,40,622,09,- n.a. -,"Winter control - sidewalks,parking lots only",,,
slc.40.622.10,40,622,10,- n.a. -,"Winter control - sidewalks,parking lots only",,,
slc.40.622.11,40,622,11,Total Expenses After Adjustments,"Winter control - sidewalks,parking lots only",,,
slc.40.622.12,40,622,12,Inter-Functional Adjustments,"Winter control - sidewalks,parking lots only",,,
slc.40.622.13,40,622,13,Allocation of Program Support,"Winter control - sidewalks,parking lots only",,,
slc.40.622.14,40,622,14,- n.a. -,"Winter control - sidewalks,parking lots only",,,
slc.40.622.15,40,622,15,- n.a. -,"Winter control - sidewalks,parking lots only",,,
slc.40.622.16,40,622,16,Amortization,"Winter control - sidewalks,parking lots only",,,
slc.40.631.01,40,631,01,"Salaries, Wages and Employee Benefits",Transit - conventional,,,
slc.40.631.02,40,631,02,Interest on Long Term Debt,Transit - conventional,,,
slc.40.631.03,40,631,03,Materials,Transit - conventional,,,
slc.40.631.04,40,631,04,Contracted Services,Transit - conventional,,,
slc.40.631.05,40,631,05,Rents and Financial Expenses,Transit - conventional,,,
slc.40.631.06,40,631,06,External Transfers,Transit - conventional,,,
slc.40.631.07,40,631,07,Total Expenses Before Adjustments,Transit - conventional,,,
slc.40.631.08,40,631,08,- n.a. -,Transit - conventional,,,
slc.40.631.09,40,631,09,- n.a. -,Transit - conventional,,,
slc.40.631.10,40,631,10,- n.a. -,Transit - conventional,,,
slc.40.631.11,40,631,11,Total Expenses After Adjustments,Transit - conventional,,,
slc.40.631.12,40,631,12,Inter-Functional Adjustments,Transit - conventional,,,
slc.40.631.13,40,631,13,Allocation of Program Support,Transit - conventional,,,
slc.40.631.14,40,631,14,- n.a. -,Transit - conventional,,,
slc.40.631.15,40,631,15,- n.a. -,Transit - conventional,,,
slc.40.631.16,40,631,16,Amortization,Transit - conventional,,,
slc.40.632.01,40,632,01,"Salaries, Wages and Employee Benefits",Transit - disabled & special needs,,,
slc.40.632.02,40,632,02,Interest on Long Term Debt,Transit - disabled & special needs,,,
slc.40.632.03,40,632,03,Materials,Transit - disabled & special needs,,,
slc.40.632.04,40,632,04,Contracted Services,Transit - disabled & special needs,,,
slc.40.632.05,40,632,05,Rents and Financial Expenses,Transit - disabled & special needs,,,
slc.40.632.06,40,632,06,External Transfers,Transit - disabled & special needs,,,
slc.40.632.07,40,632,07,Total Expenses Before Adjustments,Transit - disabled & special needs,,,
slc.40.632.08,40,632,08,- n.a. -,Transit - disabled & special needs,,,
slc.40.632.09,40,632,09,- n.a. -,Transit - disabled & special needs,,,
slc.40.632.10,40,632,10,- n.a. -,Transit - disabled & special needs,,,
slc.40.632.11,40,632,11,Total Expenses After Adjustments,Transit - disabled & special needs,,,
slc.40.632.12,40,632,12,Inter-Functional Adjustments,Transit - disabled & special needs,,,
slc.40.632.13,40,632,13,Allocation of Program Support,Transit - disabled & special needs,,,
slc.40.632.14,40,632,14,- n.a. -,Transit - disabled & special needs,,,
slc.40.632.15,40,632,15,- n.a. -,Transit - disabled & special needs,,,
slc.40.632.16,40,632,16,Amortization,Transit - disabled & special needs,,,
slc.40.640.01,40,640,01,"Salaries, Wages and Employee Benefits",Parking,,,
slc.40.640.02,40,640,02,Interest on Long Term Debt,Parking,,,
slc.40.640.03,40,640,03,Materials,Parking,,,
slc.40.640.04,40,640,04,Contracted Services,Parking,,,
slc.40.640.05,40,640,05,Rents and Financial Expenses,Parking,,,
slc.40.640.06,40,640,06,External Transfers,Parking,,,
slc.40.640.07,40,640,07,Total Expenses Before Adjustments,Parking,,,
slc.40.640.08,40,640,08,- n.a. -,Parking,,,
slc.40.640.09,40,640,09,- n.a. -,Parking,,,
slc.40.640.10,40,640,10,- n.a. -,Parking,,,
slc.40.640.11,40,640,11,Total Expenses After Adjustments,Parking,,,
slc.40.640.12,40,640,12,Inter-Functional Adjustments,Parking,,,
slc.40.640.13,40,640,13,Allocation of Program Support,Parking,,,
slc.40.640.14,40,640,14,- n.a. -,Parking,,,
slc.40.640.15,40,640,15,- n.a. -,Parking,,,
slc.40.640.16,40,640,16,Amortization,Parking,,,
slc.40.650.01,40,650,01,"Salaries, Wages and Employee Benefits",Street lighting,,,
slc.40.650.02,40,650,02,Interest on Long Term Debt,Street lighting,,,
slc.40.650.03,40,650,03,Materials,Street lighting,,,
slc.40.650.04,40,650,04,Contracted Services,Street lighting,,,
slc.40.650.05,40,650,05,Rents and Financial Expenses,Street lighting,,,
slc.40.650.06,40,650,06,External Transfers,Street lighting,,,
slc.40.650.07,40,650,07,Total Expenses Before Adjustments,Street lighting,,,
slc.40.650.08,40,650,08,- n.a. -,Street lighting,,,
slc.40.650.09,40,650,09,- n.a. -,Street lighting,,,
slc.40.650.10,40,650,10,- n.a. -,Street lighting,,,
slc.40.650.11,40,650,11,Total Expenses After Adjustments,Street lighting,,,
slc.40.650.12,40,650,12,Inter-Functional Adjustments,Street lighting,,,
slc.40.650.13,40,650,13,Allocation of Program Support,Street lighting,,,
slc.40.650.14,40,650,14,- n.a. -,Street lighting,,,
slc.40.650.15,40,650,15,- n.a. -,Street lighting,,,
slc.40.650.16,40,650,16,Amortization,Street lighting,,,
slc.40.660.01,40,660,01,"Salaries, Wages and Employee Benefits",Air transportation,,,
slc.40.660.02,40,660,02,Interest on Long Term Debt,Air transportation,,,
slc.40.660.03,40,660,03,Materials,Air transportation,,,
slc.40.660.04,40,660,04,Contracted Services,Air transportation,,,
slc.40.660.05,40,660,05,Rents and Financial Expenses,Air transportation,,,
slc.40.660.06,40,660,06,External Transfers,Air transportation,,,
slc.40.660.07,40,660,07,Total Expenses Before Adjustments,Air transportation,,,
slc.40.660.08,40,660,08,- n.a. -,Air transportation,,,
slc.40.660.09,40,660,09,- n.a. -,Air transportation,,,
slc.40.660.10,40,660,10,- n.a. -,Air transportation,,,
slc.40.660.11,40,660,11,Total Expenses After Adjustments,Air transportation,,,
slc.40.660.12,40,660,12,Inter-Functional Adjustments,Air transportation,,,
slc.40.660.13,40,660,13,Allocation of Program Support,Air transportation,,,
slc.40.660.14,40,660,14,- n.a. -,Air transportation,,,
slc.40.660.15,40,660,15,- n.a. -,Air transportation,,,
slc.40.660.16,40,660,16,Amortization,Air transportation,,,
slc.40.698.01,40,698,01,"Salaries, Wages and Employee Benefits",Please specify,,,
slc.40.698.02,40,698,02,Interest on Long Term Debt,Please specify,,,
slc.40.698.03,40,698,03,Materials,Please specify,,,
slc.40.698.04,40,698,04,Contracted Services,Please specify,,,
slc.40.698.05,40,698,05,Rents and Financial Expenses,Please specify,,,
slc.40.698.06,40,698,06,External Transfers,Please specify,,,
slc.40.698.07,40,698,07,Total Expenses Before Adjustments,Please specify,,,
slc.40.698.08,40,698,08,- n.a. -,Please specify,,,
slc.40.698.09,40,698,09,- n.a. -,Please specify,,,
slc.40.698.10,40,698,10,- n.a. -,Please specify,,,
slc.40.698.11,40,698,11,Total Expenses After Adjustments,Please specify,,,
slc.40.698.12,40,698,12,Inter-Functional Adjustments,Please specify,,,
slc.40.698.13,40,698,13,Allocation of Program Support,Please specify,,,
slc.40.698.14,40,698,14,- n.a. -,Please specify,,,
slc.40.698.15,40,698,15,- n.a. -,Please specify,,,
slc.40.698.16,40,698,16,Amortization,Please specify,,,
slc.40.699.01,40,699,01,"Salaries, Wages and Employee Benefits",Subtotal,,,
slc.40.699.02,40,699,02,Interest on Long Term Debt,Subtotal,,,
slc.40.699.03,40,699,03,Materials,Subtotal,,,
slc.40.699.04,40,699,04,Contracted Services,Subtotal,,,
slc.40.699.05,40,699,05,Rents and Financial Expenses,Subtotal,,,
slc.40.699.06,40,699,06,External Transfers,Subtotal,,,
slc.40.699.07,40,699,07,Total Expenses Before Adjustments,Subtotal,,,
slc.40.699.08,40,699,08,- n.a. -,Subtotal,,,
slc.40.699.09,40,699,09,- n.a. -,Subtotal,,,
slc.40.699.10,40,699,10,- n.a. -,Subtotal,,,
slc.40.699.11,40,699,11,Total Expenses After Adjustments,Subtotal,,,
slc.40.699.12,40,699,12,Inter-Functional Adjustments,Subtotal,,,
slc.40.699.13,40,699,13,Allocation of Program Support,Subtotal,,,
slc.40.699.14,40,699,14,- n.a. -,Subtotal,,,
slc.40.699.15,40,699,15,- n.a. -,Subtotal,,,
slc.40.699.16,40,699,16,Amortization,Subtotal,,,
slc.40.811.01,40,811,01,"Salaries, Wages and Employee Benefits",Wastewater collection/conveyance,,,
slc.40.811.02,40,811,02,Interest on Long Term Debt,Wastewater collection/conveyance,,,
slc.40.811.03,40,811,03,Materials,Wastewater collection/conveyance,,,
slc.40.811.04,40,811,04,Contracted Services,Wastewater collection/conveyance,,,
slc.40.811.05,40,811,05,Rents and Financial Expenses,Wastewater collection/conveyance,,,
slc.40.811.06,40,811,06,External Transfers,Wastewater collection/conveyance,,,
slc.40.811.07,40,811,07,Total Expenses Before Adjustments,Wastewater collection/conveyance,,,
slc.40.811.08,40,811,08,- n.a. -,Wastewater collection/conveyance,,,
slc.40.811.09,40,811,09,- n.a. -,Wastewater collection/conveyance,,,
slc.40.811.10,40,811,10,- n.a. -,Wastewater collection/conveyance,,,
slc.40.811.11,40,811,11,Total Expenses After Adjustments,Wastewater collection/conveyance,,,
slc.40.811.12,40,811,12,Inter-Functional Adjustments,Wastewater collection/conveyance,,,
slc.40.811.13,40,811,13,Allocation of Program Support,Wastewater collection/conveyance,,,
slc.40.811.14,40,811,14,- n.a. -,Wastewater collection/conveyance,,,
slc.40.811.15,40,811,15,- n.a. -,Wastewater collection/conveyance,,,
slc.40.811.16,40,811,16,Amortization,Wastewater collection/conveyance,,,
slc.40.812.01,40,812,01,"Salaries, Wages and Employee Benefits",Wastewater treatment & disposal,,,
slc.40.812.02,40,812,02,Interest on Long Term Debt,Wastewater treatment & disposal,,,
slc.40.812.03,40,812,03,Materials,Wastewater treatment & disposal,,,
slc.40.812.04,40,812,04,Contracted Services,Wastewater treatment & disposal,,,
slc.40.812.05,40,812,05,Rents and Financial Expenses,Wastewater treatment & disposal,,,
slc.40.812.06,40,812,06,External Transfers,Wastewater treatment & disposal,,,
slc.40.812.07,40,812,07,Total Expenses Before Adjustments,Wastewater treatment & disposal,,,
slc.40.812.08,40,812,08,- n.a. -,Wastewater treatment & disposal,,,
slc.40.812.09,40,812,09,- n.a. -,Wastewater treatment & disposal,,,
slc.40.812.10,40,812,10,- n.a. -,Wastewater treatment & disposal,,,
slc.40.812.11,40,812,11,Total Expenses After Adjustments,Wastewater treatment & disposal,,,
slc.40.812.12,40,812,12,Inter-Functional Adjustments,Wastewater treatment & disposal,,,
slc.40.812.13,40,812,13,Allocation of Program Support,Wastewater treatment & disposal,,,
slc.40.812.14,40,812,14,- n.a. -,Wastewater treatment & disposal,,,
slc.40.812.15,40,812,15,- n.a. -,Wastewater treatment & disposal,,,
slc.40.812.16,40,812,16,Amortization,Wastewater treatment & disposal,,,
slc.40.821.01,40,821,01,"Salaries, Wages and Employee Benefits",Urban storm sewer system,,,
slc.40.821.02,40,821,02,Interest on Long Term Debt,Urban storm sewer system,,,
slc.40.821.03,40,821,03,Materials,Urban storm sewer system,,,
slc.40.821.04,40,821,04,Contracted Services,Urban storm sewer system,,,
slc.40.821.05,40,821,05,Rents and Financial Expenses,Urban storm sewer system,,,
slc.40.821.06,40,821,06,External Transfers,Urban storm sewer system,,,
slc.40.821.07,40,821,07,Total Expenses Before Adjustments,Urban storm sewer system,,,
slc.40.821.08,40,821,08,- n.a. -,Urban storm sewer system,,,
slc.40.821.09,40,821,09,- n.a. -,Urban storm sewer system,,,
slc.40.821.10,40,821,10,- n.a. -,Urban storm sewer system,,,
slc.40.821.11,40,821,11,Total Expenses After Adjustments,Urban storm sewer system,,,
slc.40.821.12,40,821,12,Inter-Functional Adjustments,Urban storm sewer system,,,
slc.40.821.13,40,821,13,Allocation of Program Support,Urban storm sewer system,,,
slc.40.821.14,40,821,14,- n.a. -,Urban storm sewer system,,,
